0: 7,1,8
1: 9,8,2,0
2: 1,9
3: 11,149,4,12
4: 5,12,3
5: 4,12,13
6: 13,14
7: 0,17
8: 1,9,0
9: 1,8,2,11,20
10: 46,21
11: 3,20,149,9
12: 4,5,3,33,162
13: 6,14,5,23
14: 6,13,15,24,23
15: 14,24,25
16: 27,42
17: 18,7,42
18: 17,166,30,29
19: 31,30,32,20
20: 11,9,19
21: 10
22: 23,33,36
23: 24,22,13,14
24: 23,14,15,37,25
25: 26,37,15,24
26: 37,25,38
27: 16,28,167
28: 40,27,41,167
29: 55,147,172,18,30
30: 19,31,32,18,166,29,45
31: 19,30,32
32: 19,31,30,45
33: 162,12,22
34: 60,87,48,59
35: 49,36,86
36: 35,49,51,22,37
37: 26,25,24,36,51
38: 26,52
39: 52
40: 28,41,66
41: 40,28,66,53,43
42: 16,17,167
43: 53,54,41,69
44: 69,56,82
45: 57,30,32,55
46: 10
47: 
48: 60,87,34
49: 35,36,51,50,63
50: 64,49,51,63,62
51: 49,36,37,50
52: 39,38,64,65
53: 54,67,43,41,66
54: 53,67,43,68
55: 29,147,45,57,56
56: 161,156,72,55,57,44
57: 45,55,56
58: 
59: 34
60: 48,34
61: 63,86,74
62: 50,64,63
63: 75,61,49,50,62
64: 50,52,62,65
65: 79,78,64,52
66: 80,40,41,53,67
67: 53,54,80,66,170
68: 152,170,54
69: 44,43
70: 84
71: 87
72: 161,56,84,82
73: 99
74: 88,61
75: 63,76
76: 154,115,75,103,101
77: 171,78,91,90
78: 79,65,77,171
79: 65,78
80: 66,67
81: 170
82: 72,84,44,169,168
83: 111,121,120,109,108
84: 70,72,82,85,169
85: 169,168,97,84
86: 35,61
87: 71,48,34
88: 74,89
89: 100,102,88
90: 91,104,103,77,171
91: 104,103,90,77,171,105
92: 105
93: 159
94: 146
95: 155,119
96: 164,108
97: 85
98: 
99: 73,113
100: 89
101: 158,114,102,76,115
102: 89,101
103: 91,104,90,154,76,115
104: 91,103,90,105,175,116,117
105: 92,91,104,117
106: 107,146,118
107: 106,118,119
108: 120,109,96,83
109: 120,108,83,121,155
110: 131,111,163,123
111: 83,163,121,110
112: 148,123,113,126,125
113: 99,112,125
114: 144,101,115
115: 76,103,158,114,101,175
116: 175,104
117: 104,105,116
118: 119,106,107
119: 118,107,129,95
120: 109,108,83
121: 83,111,109,130
122: 132,133,124
123: 112,110,124
124: 133,122,123,126
125: 126,174,113,112,148
126: 125,174,112,148,124
127: 136
128: 
129: 119,160
130: 131,138,121,155
131: 130,138,110,132
132: 133,122,131,139,140
133: 132,122,124,140
134: 135,142
135: 134,142,150
136: 127,143,150
137: 
138: 130,131,139
139: 138,132,140
140: 132,133,139
141: 153
142: 134,135,150
143: 150,136
144: 114
145: 
146: 94,106
147: 55,29
148: 112,126,125
149: 3,11
150: 143,135,136,142
151: 
152: 68
153: 141
154: 76,103
155: 95,109,130
156: 161,56
157: 
158: 101,115
159: 93
160: 129
161: 156,72,56
162: 33,12
163: 111,110
164: 96
165: 
166: 18,30
167: 27,42,28
168: 85,169,82
169: 85,168,84,82
170: 81,68,67
171: 77,78,91,90
172: 29
173: 
174: 126,125
175: 116,115,104
